"response","sys_message","data__SuspectedCount","data__RecoveredCount","data__DeathsCount","data__ConfirmedCount","data__hospital_Name","data__latitude","data__longitude"
"1","success","1","0","0","1","DH Amritsar","31.633604","74.8763"
"","","3","0","0","0","DH Barnala","30.375604","75.544827"
"","","3","0","0","0","DH Bathinda","30.195672","74.949349"
"","","6","5","0","0","DH Faridkot","30.67901","74.760412"
"","","4","0","0","0","DH FG Sahib","30.64715","76.390744"
"","","0","0","0","0","DH Fazilka","30.406973","74.02486"
"","","1","0","0","0","DH Ferozepur","30.952936","74.607568"
"","","6","10","0","0","DH Gurdaspur","32.013057","75.3843"
"","","4","0","0","2","DH Hoshiarpur","31.530208","75.90011"
"","","6","0","0","3","DH Jalandhar","31.32649","75.573034"
"","","0","0","0","0","DH Kapurthala","31.37593","75.381997"
"","","50","0","0","2","DH Ludhiana","30.90676","75.859615"
"","","3","0","0","0","DH Mansa","29.97745","75.405532"
"","","0","0","0","0","DH Moga","30.810257","75.040127"
"","","2","0","0","0","DH Muktsar","30.462999","74.535055"
"","","6","0","1","19","DH Nawan Shahar","31.116939","76.155513"
"","","3","0","0","0","DH Pathankot","32.282457","75.652893"
"","","0","0","0","0","DH Patiala","30.329344","76.384261"
"","","10","0","0","0","DH Rupnagar","30.966237","76.525159"
"","","0","0","0","0","DH Sangrur","30.252055","75.836308"
"","","17","0","0","5","DH SAS Nagar","30.73951","76.713936"
"","","0","0","0","0","DH Tarn Taran","31.458677","74.923316"
"","","0","0","0","0","GMC Amritsar","31.652385","74.885184"
"","","1","0","0","0","GGSMC Faridkot","30.682138","74.740988"
"","","0","0","0","0","GMC Patiala","30.328053","76.385135"
"","","0","0","0","0","IAM Pathankot","32.2733","75.6522"
"","","0","0","0","0","IAM Pathankot","32.2733","75.6522"
